name,unicode,sideBar,sortName,category,subCategory,anchors,accents,production,decompose,script,altNames,description
qa-khmer.below,,Conjuncts/Below-base,kh138,Mark,Nonspacing,"_bottom, bottom",,uni17D217A2,,khmer,,KHMER LETTER QA
qu-khmer.below,,Conjuncts/Below-base,,Mark,Nonspacing,"_bottom, bottom",,uni17D217A7,,khmer,,KHMER LETTER QU
ry-khmer.below,,Conjuncts/Below-base,,Mark,Nonspacing,_bottom,,uni17D217AB,,khmer,,KHMER LETTER RY
ryy-khmer.below,,Conjuncts/Below-base,,Mark,Nonspacing,_bottom,,uni17D217AC,,khmer,,KHMER LETTER RYY
qe-khmer.below,,Conjuncts/Below-base,,Mark,Nonspacing,_bottom,,uni17D217AF,,khmer,,KHMER LETTER QU
qaq-khmer,17A3,Letters,kh140,Letter,,bottom,,uni17A3,,khmer,,KHMER INDEPENDENT VOWEL QAQ
qaa-khmer,17A4,Letters,kh142,Letter,Ligature,,,uni17A4,,khmer,,KHMER INDEPENDENT VOWEL QAA
qi-khmer,17A5,Vowels/Independent,kh144,Letter,,,,uni17A5,,khmer,,KHMER INDEPENDENT VOWEL QI
qii-khmer,17A6,Vowels/Independent,kh146,Letter,,,,uni17A6,,khmer,,KHMER INDEPENDENT VOWEL QII
qu-khmer,17A7,Vowels/Independent,kh148,Letter,,"top, bottom",,uni17A7,,khmer,,KHMER INDEPENDENT VOWEL QU
quk-khmer,17A8,Vowels/Independent,kh150,Letter,,,,uni17A8,,khmer,,KHMER INDEPENDENT VOWEL QUK
quu-khmer,17A9,Vowels/Independent,kh152,Letter,,,,uni17A9,,khmer,,KHMER INDEPENDENT VOWEL QUU
quuv-khmer,17AA,Vowels/Independent,kh154,Letter,,"top, bottom",,uni17AA,,khmer,,KHMER INDEPENDENT VOWEL QUUV
ry-khmer,17AB,Vowels/Independent,kh156,Letter,,top,,uni17AB,,khmer,,KHMER INDEPENDENT VOWEL RY
ryy-khmer,17AC,Vowels/Independent,kh158,Letter,,top,,uni17AC,,khmer,,KHMER INDEPENDENT VOWEL RYY
ly-khmer,17AD,Vowels/Independent,kh160,Letter,,,,uni17AD,,khmer,,KHMER INDEPENDENT VOWEL LY
lyy-khmer,17AE,Vowels/Independent,kh162,Letter,,,,uni17AE,,khmer,,KHMER INDEPENDENT VOWEL LYY
qe-khmer,17AF,Vowels/Independent,kh164,Letter,,,,uni17AF,,khmer,,KHMER INDEPENDENT VOWEL QE
qai-khmer,17B0,Vowels/Independent,kh166,Letter,,,,uni17B0,,khmer,,KHMER INDEPENDENT VOWEL QAI
qootypeone-khmer,17B1,Vowels/Independent,kh168,Letter,,,,uni17B1,,khmer,,KHMER INDEPENDENT VOWEL QOO TYPE ONE
qootypetwo-khmer,17B2,Vowels/Independent,kh170,Letter,,,,uni17B2,,khmer,,KHMER INDEPENDENT VOWEL QOO TYPE TWO
qau-khmer,17B3,Vowels/Independent,kh172,Letter,,,,uni17B3,,khmer,,KHMER INDEPENDENT VOWEL QAU
aq-khmer,17B4,Marks,kh174,Mark,Spacing,,,uni17B4,,khmer,,KHMER VOWEL INHERENT AQ
aa-khmer,17B5,Marks,kh176,Mark,Spacing,,,uni17B5,aasign-khmer,khmer,,KHMER VOWEL INHERENT AA
aasign-khmer,17B6,Vowels/Dependent,kh178,Letter,Spacing,"top, bottom",,uni17B6,,khmer,,KHMER VOWEL SIGN AA
iMark-khmer,17B7,Vowels/Dependent,kh180,Mark,Nonspacing,"_top, top",,uni17B7,,khmer,,KHMER VOWEL SIGN I
iiMark-khmer,17B8,Vowels/Dependent,kh182,Mark,Nonspacing,"_top, top",,uni17B8,,khmer,,KHMER VOWEL SIGN II
yMark-khmer,17B9,Vowels/Dependent,kh184,Mark,Nonspacing,"_top, top",,uni17B9,,khmer,,KHMER VOWEL SIGN Y
yyMark-khmer,17BA,Vowels/Dependent,kh186,Mark,Nonspacing,"_top, top",,uni17BA,,khmer,,KHMER VOWEL SIGN YY
nikahit-khmer,17C6,Marks,kh188,Mark,Nonspacing,_top,,uni17C6,,khmer,,KHMER SIGN NIKAHIT
muusikatoan-khmer,17C9,Marks,kh190,Mark,Nonspacing,"_top, top",,uni17C9,,khmer,,KHMER SIGN MUUSIKATOAN
